Datetime,Tweet
2021-10-25 07:30:00+00:00,"Cape bgt, pgn jadi jam gadang saraga aja rasanya itb!"
2021-10-25 07:20:01+00:00,Itb! pgn pnya pacar wibu --&gt; pgn pnya pacar anak stei
2021-10-25 06:05:00+00:00,Itb! Rekomen tempat beli batre laptop merek HP di BEC dong
2021-10-25 06:00:01+00:00,Itb! PENGEN PUNYA PACAR WIBU WOI KEKNYA LUCU!
2021-10-25 05:55:00+00:00,Itb! Emang waifunya anak stei itb org jepang?
2021-10-25 05:30:00+00:00,"Mending lu semua warga itb! ziarah ke makam soekarno gih, minta maaf udah jadi wibu"
2021-10-25 04:50:00+00:00,Itb! Kalau kalian masuk kosan baru kalian “cleansing” dulu ga?
2021-10-25 04:50:00+00:00,uts sisdigmik enaknya belajar apa nangis ya? itb!
2021-10-25 04:20:00+00:00,Mektek = Mekanika Pan*** itb!
2021-10-25 04:15:00+00:00,"Edunexx kamu kenapa akhir akhir ini?
ada masalah?
sini ceritaa kalo ada masalahh
Kalo ada apa apa kabarin yaa
Lov u edunex itb!"
2021-10-25 01:50:00+00:00,yang anak kosan itb! pembasmi nyamuk paling efektif apa yaa?
2021-10-25 01:35:01+00:00,"Hujatan menerpa selalu Tersenyum dan tersenyum
10. Ole dipilih langsung oleh para Legenda2 klub yg membuat managemen percaya 1000% pada proses.
Semoga bertahan 10-20 tahun lagi jadi pelatih emyu. 
We Love Stay OLe"
2021-10-25 01:35:00+00:00,"hingga menjadi Gol.
6. Bisa menghadirkan 000 trophy dalam 4-5 tahun terakhir.
7. Mempunyai Senyuman yang membuat Lawan Bahagia. Di saat Kalah pun tetap Tersenyum.
8. Fans Sepakbola baik Lawan atau pun Kawan sangat mencintai Ole
9. Sangat Rendah Hati, di saat banyak  (cont..)"
2021-10-25 01:35:00+00:00,"sebagai Target Man terbaik, yg sering sering menyianyiakan peluang.
4. Mempunyai Maguire sebagai Bek Tengah Terbaik, yg sering mengoper pada Lawan dan menjaga Kawan sendiri.
5. Mempunyai Lingardinho, Salah Satu Pemain Terbaik Dunia. Yang bisa mengoper ke Kawan dan Lawan  (cont..)"
2021-10-25 01:35:00+00:00,"Selamat hari senin warga itb! 

Berikut 10 Alasan Ole harus dipertahankan :

1. Taktik Teka Teki nya yg membuat Lawan dan Pemain sndri bingung
2. Mempunyai Fred sebagai Deep Playmaker terbaik, yang Passingnya sering membuat Lawan dan Kawan bingung.
3. Mempunyai Martial  (cont..)"
2021-10-25 00:55:00+00:00,"Edunex itb! 
Down/mt dari semalem 😔"
2021-10-24 15:50:00+00:00,"Ngelihat kating-kating itb! Wisuda, jadi pengen cepet cepet juga.
Tapi di saat yg sama belum siap menghadapi dunia nyata dan mengemban tanggung jawab seorang sarjana."
2021-10-24 15:45:00+00:00,Kalian yg imba kalau temen ngechat terus nanya soal/materi kuliah suka kesel gak? Itb!
2021-10-24 15:30:00+00:00,"pipipip itb! 3 jam menuju close registration!!! Relasi otomatis nambah se-Indonesia gasin ikut sih
bit. ly/CollegacyIndonesiaRecruitment
cek Instagramnya @/collegacyindonesia https://t.co/mF36kOEZQy"
2021-10-24 15:25:00+00:00,Rekomendasi lagu galau atau playlist jg boleh itb! Gue baru diputusin tadi pas lg keos keosnya :)
2021-10-24 15:20:00+00:00,Itb! Gua depresi malah disuruh pacaran oleh ortu. Ya enggaklah kasian doi
2021-10-24 15:00:00+00:00,"suka ngerasa keos sendiri padahal aplikasi time management banyak...

tapi, sekarang udah no worry, soalnya tgl 29 okt jumat depan, Karinovnya KM.ITB membuka workshop tentang Trello dan Google Calendar🥰🥰🥰 itb!"
2021-10-24 14:55:11+00:00,Itb! Gua tadi ke borma trus ada bocil ngomong ‘itu panci FF’ (free fire) trus mood gua rusak
2021-10-24 14:15:01+00:00,"itb! kalian yang ngekost, mau nanya dong berapa banyak baju dan jaket yg kalian bawa ke kosan? Gua habis packing buat ke kosan, terus merasa banyak banget baju yang dibawa"
2021-10-24 13:30:00+00:00,"itb! Kalau matkul utama sama matkul praktikumnya dipisah (di SIX ditulis sebagai matkul), sudah pasti ga bakal saling mempengaruhi kelulusannya kan?"
2021-10-24 13:10:00+00:00,Pgn bgt punya pacar wibu yg punya kucing gendut 😔🙏  itb! Bucin!
2021-10-24 12:45:00+00:00,"Itb! Ada yang punya rekomendasi tempat service computer di sekitar itb or di bec boleh, mau ganti ke ssd. Terima kasih 🙏 (titipan)"
2021-10-24 12:40:00+00:00,itb! pada bisa buka edunex ga? Gw mau ngumpulin tugas muter muter doang dari tadi tolong
2021-10-24 11:30:00+00:00,Massa FTSL' 21 udh ada yg dapet Jamal? Itb!
2021-10-24 11:25:01+00:00,Ada yang tahu tempat ngeprint di sekitaran Pelesiran yang buka sampai malam hari ini? Lagi butuh banget huhu. ITB!
2021-10-24 11:25:00+00:00,Ceritain pengalaman kalian waktu keterima di ITB! dong (titipan)
2021-10-24 11:05:27+00:00,"🗨️ Replies: 9
📎 Quoteds: 0
🔃 Retweets: 1
❤️ Likes: 2

📊 Score: 30 https://t.co/LRNS03d997"
2021-10-24 11:05:27+00:00,"🗨️ Replies: 10
📎 Quoteds: 2
🔃 Retweets: 2
❤️ Likes: 13

📊 Score: 49 https://t.co/5gFgvbtYlL"
